Award Category,award_id,Circuit,circuit_id,Round,round_id,Player,player_id,stats
?? First Place Team,8,Indy Gaming League Fall 2020 East Tier 1,5,IGL Fall 2020 Championships-W1,159,AgentSnake,lookup,10680715
?? First Place Team,8,Indy Gaming League Fall 2020 East Tier 1,5,IGL Fall 2020 Championships-W1,159,GoodGamesJames,lookup,10680715
?? First Place Team,8,Indy Gaming League Fall 2020 East Tier 1,5,IGL Fall 2020 Championships-W1,159,Goose,lookup,10680715
?? First Place Team,8,Indy Gaming League Fall 2020 East Tier 1,5,IGL Fall 2020 Championships-W1,159,Jame,2931,10680715
?? First Place Team,8,Indy Gaming League Fall 2020 East Tier 1,5,IGL Fall 2020 Championships-W1,159,Peanutphobia,lookup,10680715
?? Second Place Team,9,Indy Gaming League Fall 2020 East Tier 1,5,IGL Fall 2020 Championships-W1,159,itsotter,lookup,10680715
?? Second Place Team,9,Indy Gaming League Fall 2020 East Tier 1,5,IGL Fall 2020 Championships-W1,159,KG28,lookup,10680715
?? Second Place Team,9,Indy Gaming League Fall 2020 East Tier 1,5,IGL Fall 2020 Championships-W1,159,PM Me for Shark Facts,lookup,10680715
?? Second Place Team,9,Indy Gaming League Fall 2020 East Tier 1,5,IGL Fall 2020 Championships-W1,159,T2P,lookup,10680715
?? Second Place Team,9,Indy Gaming League Fall 2020 East Tier 1,5,IGL Fall 2020 Championships-W1,159,XSV21,lookup,10680715
?? Third Place Team,10,Indy Gaming League Fall 2020 East Tier 1,5,IGL Fall 2020 Championships-W1,159,daddy,lookup,10680715
?? Third Place Team,10,Indy Gaming League Fall 2020 East Tier 1,5,IGL Fall 2020 Championships-W1,159,EarthBowser,lookup,10680715
?? Third Place Team,10,Indy Gaming League Fall 2020 East Tier 1,5,IGL Fall 2020 Championships-W1,159,Keyboardskater,lookup,10680715
?? Third Place Team,10,Indy Gaming League Fall 2020 East Tier 1,5,IGL Fall 2020 Championships-W1,159,littlePenguinDude,lookup,10680715
?? Third Place Team,10,Indy Gaming League Fall 2020 East Tier 1,5,IGL Fall 2020 Championships-W1,159,TheBrickMatt,lookup,10680715
?? First Place Team,8,Indy Gaming League Fall 2020 East Tier 2,6,IGL Fall 2020 Championships-W1,159,coombzy,lookup,10680715
?? First Place Team,8,Indy Gaming League Fall 2020 East Tier 2,6,IGL Fall 2020 Championships-W1,159,fun ghoul,lookup,10680715
?? First Place Team,8,Indy Gaming League Fall 2020 East Tier 2,6,IGL Fall 2020 Championships-W1,159,PolarPoetry,lookup,10680715
?? First Place Team,8,Indy Gaming League Fall 2020 East Tier 2,6,IGL Fall 2020 Championships-W1,159,Pwoink,lookup,10680715
?? First Place Team,8,Indy Gaming League Fall 2020 East Tier 2,6,IGL Fall 2020 Championships-W1,159,warbyporker,lookup,10680715
?? First Place Team,8,Indy Gaming League Fall 2020 East Tier 2,6,IGL Fall 2020 Championships-W1,159,WWWebby,lookup,10680715
?? Second Place Team,9,Indy Gaming League Fall 2020 East Tier 2,6,IGL Fall 2020 Championships-W1,159,chariotson,lookup,10680715
?? Second Place Team,9,Indy Gaming League Fall 2020 East Tier 2,6,IGL Fall 2020 Championships-W1,159,Crankt,lookup,10680715
?? Second Place Team,9,Indy Gaming League Fall 2020 East Tier 2,6,IGL Fall 2020 Championships-W1,159,derpbucket,lookup,10680715
